,,,,,, ,,Updated on:,9/2/2026 10:08,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avail,Exp. Date
01032,SHARP PROVOLONE (HALF CYLINDER),9,,,,"only Cowbell and Dekalb, Cheese Imp order that item ",,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1290750,04/24/2026,90,,,597.42,03/22/2027
01034,SMOKED PROVOLONE 4.4 LBS,0,,,,only for SK Food when ordered,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1296193,05/15/2026,60,8,Lettieri 0003245,464.73,12/16/2026
01021,PROVOLONE PAN DI CACIO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1316564,08/06/2026,60,60,TJ,"1,680.00",07/09/2027
01101,PROVOLONE SHARP CHEESE 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1316567,08/06/2026,60,60,TJ,"1,680.00",07/09/2027
01126,SHARP PROVOLONE WITH ROPE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1316574,08/06/2026,60,60,TJ,"1,680.00",07/09/2027
01154,MILD PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1316577,08/06/2026,60,60,TJ,"1,680.00",07/09/2027
01155,SMOKED PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1316585,08/06/2026,60,60,TJ,"1,680.00",07/09/2027
01174,SMOKED PROVOLONE 7 OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1316586,08/06/2026,60,60,TJ,"1,680.00",07/09/2027
