,,,,,, ,,Updated on:,8/13/2026 1:26 PM,,,5957,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date,,
04181,VEZZENA CHEESE AGED WHOLE WHEEL,15,,,,CowBell 5x per monthly plan,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269500501,ETA 8/25,#60,60,TJs,"1,501.57",Jul-27,,
04182,VEZZENA CHEESE 7 OZ EW,0,,,,no ongoing projects,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269500501,ETA 8/25,#60,60,TJs,"1,495.18",Jul-27,,
04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,replaced with 04028,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269500501,ETA 8/25,#60,,,"1,529.05",Jul-27,,
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock 2024,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269500502,ETA 8/25,#60,,,"1,452.90",Jul-27,,
04211,ALPEGGIO CHEESE 7 OZ EW,14,,,,Lettieri sometimes orders 10-15 cases,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269500501,ETA 8/25,#60,,,"1,476.00",Jul-27,,
05001,GRANA PADANO PDO WHOLE WHEEL,40,,,,slow mover but keep some in stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269500501,ETA 8/25,#60,,,"1,539.74",Jul-27,,
05007,GRANA PADANO PDO 1/8 WHEEL,1543,,,,,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458802,ETA 9/1,#60,,,"1,529.35",Jul-27,,
05012,GRANA PADANO PDO HOR. CUT,30,,,,Selected,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458802,ETA 9/1,#60,,,"1,494.64",Jul-27,,
05018,GRANA PADANO 1/8 MIN 16 MESI,0,,,,not interesting for the stock 2024,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458802,ETA 9/1,#60,,,"1,495.16",Jul-27,,
05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,147,,,,always have at least 1/2 pallet (check with Stefano),,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458802,ETA 9/1,#60,,,"1,574.65",Aug-27,,
05033,PARMIGIANO REGGIANO PDO WHOLE WHEEL 24 MESI,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458802,ETA 9/1,#60,,,"1,504.43",Aug-27,,
05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL 18mo,0,,,,,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269458801,ETA 9/1,#60,,,"1,558.40",Aug-27,,
