sales_item_description,customers,usd_2024,usd_2025_ytd,best_match_sku,best_match_name,best_match_pack,confidence,tier,candidate_skus_same_name
CACIOTTA WITH TRUFFLE - 1 PCS/CS,"TAMA TRADING COMPANY, INC",4551.38,2977.84,20150,Caciotta (Basket Rind),TRUFFLE  (with black truffle)  6 lb,0.641,MEDIUM,8
CACIOTTA BLACK TRUFFLE 1.2 LBS,COW BELL LLC,4389.88,2673.53,20150,Caciotta (Basket Rind),TRUFFLE  (with black truffle)  6 lb,0.686,MEDIUM,8
CACIOTTA HERBS 1.2 LBS,ALMA GOURMET; COW BELL LLC,2210.62,2647.06,20228,Caciotta (Basket Rind),HERBS (with aromatic herbs) - 6 lb,0.636,MEDIUM,8
ASIAGO VECCHIO PDO 1/4 WHEEL,ACE ENDICO; SELECTED FOOD & BEVERAGE,4835.38,2561.7,03014,Asiago Vecchio DOP,"1/4 Wheel, vacuum packed",1.0,HIGH,3
PIAVE MEZZANO PDO WHOLE WHEEL,ACE ENDICO; ALMA GOURMET; ALTOMONTE,473.73,2451.08,40107,Piave Cheese DOP,MEZZANO Whole Wheels approx 13 lbs vacuum packed,0.74,HIGH,3
STELVIO PDO CHEESE,COW BELL LLC; SAVORY CHEESE,2132.08,2150.87,20584,Stelvio Cheese DOP,Whole Wheels approx 18 lbs vacuum packed,1.0,HIGH,1
GORGONZOLA DOLCE PDO 1/8 WHEEL,"ALTOMONTE; SAVORY CHEESE; SELECTED FOOD & BEVERAGE; TAMA TRADING COMPANY, INC",2954.63,2054.36,20519,Gorgonzola DOP Mild,1/8 Wheels approx 4 lbs vacuum packed,0.654,MEDIUM,1
VEZZENA CHEESE AGED 1/4 WHEEL,"ACE ENDICO; ALTOMONTE; SELECTED FOOD & BEVERAGE; TAMA TRADING COMPANY, INC",725.21,1969.1,04046,Vezzena Cheese,"1/4 Wheel, vacuum packed",1.0,HIGH,2
PIAVE VECCHIO PDO > 12 MONTHS,ACE ENDICO,0,1650.61,03003,Asiago Vecchio DOP,"Whole Wheel, 16-18 lbs",1.0,CONFIRMED,0
LAGORAI CHEESE WHOLE WHEEL,BALDOR; COW BELL LLC; SAVORY CHEESE; TRADER JOE'S COMPANY,231864.15,1366.85,04154,Lagorai Cheese,"Whole Wheel, 28-30 lbs",1.0,HIGH,3
SHARP PROV HALF MOON CYLINDER,ALTOMONTE; COW BELL LLC,996.77,987.51,01032,Sharp Provolone,"Half Cylinder,
vacuum packed, 18 - 20 lbs",0.838,HIGH,6
CASTELMAGNO WHOLE WHEEL,COW BELL LLC; SAVORY CHEESE; SELECTED FOOD & BEVERAGE,1996.32,676.42,20567,Castelmagno DOP,"Whole Wheels vacuum packed
- 15 lbS Approx",1.0,HIGH,1
TALEGGIO PDO WHOLE WHEEL,"ALTOMONTE; SAVORY CHEESE; TAMA TRADING COMPANY, INC",345.43,524.47,20520,Taleggio DOP,"Whole Wheels approx 4,4 lbs vacuum packed",1.0,HIGH,1
CHEESE FIORETTO AGED,"COW BELL LLC; SAVORY CHEESE; SELECTED FOOD & BEVERAGE; TAMA TRADING COMPANY, INC",40.52,436.88,20533,Fioretto Stagionato with Truffle,"Whole Wheels vacuum packed - 4,4 lb",1.0,CONFIRMED,0
CACIOTTA BLACK TRUFFLES 7 OZ EW,SELECTED FOOD & BEVERAGE,0,291.77,20423,Caciotta (Basket Rind),"7 oz Exact Weight Wedges, vacuum packed",0.606,MEDIUM,8
CACIOTTA CHILI RED PEPPER WEDGE 7 OZ EW,SELECTED FOOD & BEVERAGE,0,245.52,20423,Caciotta (Basket Rind),"7 oz Exact Weight Wedges, vacuum packed",0.699,MEDIUM,8
CACIOTTA MNTN HERBS WEDGE 7 OZ EW,SELECTED FOOD & BEVERAGE,0,245.52,20423,Caciotta (Basket Rind),"7 oz Exact Weight Wedges, vacuum packed",0.708,MEDIUM,8
BRA DURO PDO CHEESE,COW BELL LLC,140.34,229.93,20451,Bra Piemontese DOP,"DURO/HARD Whole Wheels vacuum packed
- 15 lbS Approx",0.416,LOW,2
CACIOTTA PEPATO WEDGE 7 OZ EW,SELECTED FOOD & BEVERAGE,0,204.6,20423,Caciotta (Basket Rind),"7 oz Exact Weight Wedges, vacuum packed",0.719,MEDIUM,8
LAGREIN CHEESE,COW BELL LLC; SAVORY CHEESE,105.76,194.75,04165,Lagorai Cheese,"7 oz Exact Weight Wedges, ATM",0.363,LOW,3
LAGORAI CHEESE 1/4 WHEEL,ALTOMONTE; COW BELL LLC,184.56,98.83,04145,Lagorai Cheese,"1/4 Wheel, vacuum packed",1.0,HIGH,3
FONTAL CHEESE 1/4 WHEEL,ALMA GOURMET; SAVORY CHEESE,514.44,58.62,20511,Fontal Trentinella,"FONTAL EU 1/4 Wheel, vacuum pack",0.715,MEDIUM,3
BRA TENERO PDO CHEESE,COW BELL LLC,584.64,0,20450,Bra Piemontese DOP,"TENERO/SOFT -Whole Wheels vacuum packed
- 15 lbS Approx",0.483,LOW,2
CACIOTTA PEPATO 1.2 LB RW,COW BELL LLC,246.79,0,20142,Caciotta (Basket Rind),BLACK PEPPER (with black peppers) 6 lb,0.454,LOW,8
PECORINO BARONE,COW BELL LLC; SAVORY CHEESE,783.12,0,40103,Pecorino Romano DOP,"Whole Wheels vacuum packed
- 58 lbS Approx",0.567,MEDIUM,3
TRENTIN GRANA AGED 24 MONTHS,COW BELL LLC,2628.49,0,05095,Grana Padano Riserva,"TRENTIN GRANA                     AGED MIN. 20 MONTHS          Whole
Wheel, 66-77 lbs",0.389,LOW,12
ASIAGO FRESCO PDO 7 OZ  EW,"TAMA TRADING COMPANY, INC",0,0,02091,Asiago Fresco DOP,"7 oz Exact Weight Wedges, ATM",1.0,HIGH,4
"GRANA PADANO PDO 1/8 WHEEL, 15 MONTHS",SELECTED FOOD & BEVERAGE,9345.99,0,05018,Grana Padano Riserva,"1/8 Wheel, vacuum packed minimum
16 months ageing",0.917,HIGH,12
GRANA PADANO PDO GRAT 1.5 LB,SELECTED FOOD & BEVERAGE,3024,0,05095,Grana Padano Riserva,"TRENTIN GRANA                     AGED MIN. 20 MONTHS          Whole
Wheel, 66-77 lbs",0.763,HIGH,12
PECORINO FRESCO BIANCO WHOLE WHEEL,SELECTED FOOD & BEVERAGE,156.56,0,40103,Pecorino Romano DOP,"Whole Wheels vacuum packed
- 58 lbS Approx",0.683,MEDIUM,3
PECORINO OLIVE WHOLE WHEEL,SELECTED FOOD & BEVERAGE,157.61,0,40103,Pecorino Romano DOP,"Whole Wheels vacuum packed
- 58 lbS Approx",0.691,MEDIUM,3
PECORINO PISTACCHIO,SELECTED FOOD & BEVERAGE,294.81,0,40174,Pecorino Toscano DOP,"Whole Wheels Aged minimum 60 days
- 6 lbS Approx vacuum packed",0.516,MEDIUM,2
PECORINO SAFFRON AND BLACK PEPPER,SELECTED FOOD & BEVERAGE,0,0,40103,Pecorino Romano DOP,"Whole Wheels vacuum packed
- 58 lbS Approx",0.49,LOW,3
URBANI AGED TRUFFLE CHEESE,ALMA GOURMET; BALDOR; SELECTED FOOD & BEVERAGE,4303.22,0,20533,Fioretto Stagionato with Truffle,"Whole Wheels vacuum packed - 4,4 lb",1.0,CONFIRMED,0
ALPEGGIO 7 OZ EW,ACE ENDICO,0,0,20724,Alpeggio Cheese,"Whole Wheel, 16-18 lbs",1.0,HIGH,1
DRUNKEN AGED CHEESE 1/4 WHEEL  (IMBRIAGO,ALTOMONTE,195.58,0,04028,Imbriago (Drunken) Cheese,"Whole Wheels vacuum packed
- 4,4 lb",0.419,LOW,2
MOUNTAIN ASIAGO STAGIONATO,ALTOMONTE,679.14,0,03044,Asiago Stagionato DOP,"7 oz Exact Weight Wedges, ATM",0.732,HIGH,3
RASCHERA PDO CHEESE,SAVORY CHEESE,0,0,20453,Raschera Piemontese DOP,"TENERO/SOFT -Whole Wheels vacuum packed
- 15 lbS Approx",0.646,MEDIUM,1
SMOKED PROVOLONE CYLINDER,SAVORY CHEESE,256.4,0,20438,Mild Provolone,"Cylinder, vacuum packed, 7 lbs approx",0.821,HIGH,2
