,,,,,, ,,Updated on:,9 July 2026 12:42,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date
01032,SHARP PROVOLONE (HALF CYLINDER),79,,,,"only Cowbell and Dekalb, Cheese Imp order that item ",,11111,SAMPLES,1308488,07/06/2026,3,3,"(finte forme) Consorzio Grana Padano, labels from Stefano?",15,12/31/2035
01034,SMOKED PROVOLONE 4.4 LBS,0,,,,only for SK Food when ordered,,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1282616,03/23/2026,10,,,63.531,02/19/2027
01021,PROVOLONE PAN DI CACIO,0,,,,not interesting for the stock,,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1296192,05/15/2026,60,,,376.71,04/15/2027
01101,PROVOLONE SHARP CHEESE 7 OZ EW,0,,,,we don't have project right now,,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1290750,04/24/2026,120,,,796.56,03/22/2027
01126,SHARP PROVOLONE WITH ROPE,0,,,,not interesting for the stock,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1287527,04/10/2026,3,,,24.609,11/28/2026
01154,MILD PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1296193,05/15/2026,60,,,464.73,12/16/2026
01155,SMOKED PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1296195,05/15/2026,60,60,TJ,1680,04/04/2027
01174,SMOKED PROVOLONE 7 OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304216,06/18/2026,60,60,TJ,"1,680.00",05/05/2027
01186,SMOKED PROVOLONE CYLINDER,0,,,,we try to have 1 pallet available in stock. Veroni-Creminelli preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304222,06/18/2026,60,60,TJ,"1,680.00",05/05/2027
01190,PROVOLONE MILD CHEESE 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304229,06/18/2026,60,60,TJ,"1,680.00",05/05/2027
01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,10,,,,"only for Cheese Importers, was the first order good?  He needs more?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304230,06/18/2026,60,60,TJ,"1,680.00",05/05/2027
01299,MILD PROVOLONE STICK,0,,,,Levoni preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304236,06/18/2026,60,60,TJ,"1,680.00",05/05/2027
02005,ASIAGO FRESCO PDO WHOLE WHEEL,22,,,,"main customer Alma, do we have < 33?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308168,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,628,,,,"Cowbell monthly plan 50x, average purchase TONY 10x, ACE Endico sometimes, Baldor 108x",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308170,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
02091,ASIAGO FRESCO PDO 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308172,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
02206,MOUNTAIN ASIAGO FRESCO PDO WW,60,,,,3x CowBell monthly plan?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308174,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
