,,,,,, ,,Updated on:,25 June 2026 12:05,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avai,Exp Date
04145,LAGORAI CHEESE 1/4 WHEEL,23,,,,Lettieri doesn't order much,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734703,ETA 7/2,60,660,"TJ  8/19, 8/26 (+9 more)","1,526.65",May-27
04154,LAGORAI CHEESE WHOLE WHEEL,6,,,,"It doesn't sell much, Cowbell buys a little bit, <8",,20228,CACIOTTA HERBS 6 LBS,1282618,03/23/2026,10,,,64.357,02/19/2027
04165,LAGORAI CHEESE 7 OZ EW,0,,,,no sales at the moment,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027
04168,FONTAL CHEESE 1/4 WHEEL,0,,,,not interesting for the stock,,20229,"CACIOTTA HERBS 1,2 LBS",269618415,ETA 7/2,30,,CowBell monthly plan?,256.57,Feb-27
04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),0,,,,KeHE + Olio&Olive + HEB,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1282636,03/23/2026,111,111,HEB 57X292991,586.08,10/22/2026
04181,VEZZENA CHEESE AGED WHOLE WHEEL,24,,,,CowBell 5x per monthly plan,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,68,,,359.04,10/22/2026
04182,VEZZENA CHEESE 7 OZ EW,0,,,,no ongoing projects,,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38,,,572.643,01/15/2026
04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72,,,1086.98,01/15/2026
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,23,,,121.44,09/08/2026
04211,ALPEGGIO CHEESE 7 OZ EW,0,,,,no ongoing projects,,20480,CACIOTTA MNT HERBS 7 OZ EW,1280644,03/16/2026,144,,,760.32,09/27/2026
05001,GRANA PADANO PDO WHOLE WHEEL,38,,,,,,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,12,,KeHE? Lettieri?,63.36,12/16/2026
05007,GRANA PADANO PDO 1/8 WHEEL,980,,,,,,20511,FONTAL CHEESE 1/4 WHEEL,1290765,04/24/2026,240,,,1468.41,11/22/2026
05012,GRANA PADANO PDO HOR. CUT,32,,,,Selected,,20511,FONTAL CHEESE 1/4 WHEEL,1290766,04/24/2026,240,,,1526.75,11/22/2026
05018,GRANA PADANO 1/8 MIN 16 MESI,0,,,,not interesting for the stock,,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,52,,,158.686,07/15/2027
05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,147,,,,,,20533,AGED TRUFFLE CHEESE BLACK,1290735,04/24/2026,30,30,"Baldor, problem in the production solved? email sent 6/23",147.368,11/22/2026
05033,PARMIGIANO REGGIANO PDO WHOLE WHEEL 24 MESI,0,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,1296197,05/15/2026,120,120,"Baldor, problem in the production solved? email sent 6/23",570.37,12/16/2026
05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL 18mo,40,,,,,,20569,BIANCO D'ITALIA 1/4 WHEEL,1285661,04/03/2026,84,,Cowbell monthly plan? June,1609.322,03/09/2027
05091,GRANA PADANO 7OZ,0,,,,we don't have project right now,,20569,BIANCO D'ITALIA 1/4 WHEEL,1290733,04/24/2026,100,,Cowbell monthly plan? July,1929.8,03/20/2027
05093,GRANA PADANO WW 16 MESI,0,,,,,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,24,,,294.01,05/07/2027
05095,TRENTIN GRANA PDO CHEESE,0,,,,"no need to reorder it until September 2026, ask Stefano",,40020,MONTASIO CHEESE WHOLE WHEEL,1304214,06/18/2026,60,,,778.95,05/09/2027
05600,PARMIGIANO 7OZ,0,,,,we don't have project right now,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285660,04/03/2026,9,,Cowbell monthly plan,512.629,03/06/2027
05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,73,,,,"Greg 12x monthly plan and ACE, we monitor, next",,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285662,04/03/2026,45,,,2524.23,03/06/2027
05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,0,,,,ACE Endico,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266069,01/16/2026,35,,,2083.18,10/09/2026
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266067,01/16/2026,36,,,"2,132.76",10/10/2026
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,22,,,673.58,04/10/2027
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,40107,PIAVE MEZZANO PDO WHOLE WHEEL,1255292,12/05/2025,18,,,246.841,11/08/2026
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,40109,PIAVE VECCHIO PDO > 6 MONTHS,1255287,12/05/2025,23,,,309.856,11/08/2026
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,269618427,ETA 7/2,30,,Ace Endico?,410.99,Feb-27
20150,CACIOTTA BLACK TRUFFLES 6 LBS,190,,,,average purchase TONY 55 per month,,40169,RICOTTA SALATA V.P.,1285659,04/03/2026,8,,,119.49,12/06/2026
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,71,,Selected,578.845,02/04/2027
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,67,,,,"15x Greg monthly plan, we monitor",,40175,AGED PECORINO TOSCANO PDO WW,1285643,04/03/2026,17,,Selected,136.453,03/04/2027
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,-600,,,,TJ preorder,,01032,SHARP PROVOLONE,1290757,04/24/2026,11,,Cowbell 0.5$/lbs promotion next order,168.588,11/22/2026
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,01032,SHARP PROVOLONE,269618428,ETA 7/2,72,,,"1,097.59",Feb-27
20229,CACIOTTA HERBS 1.2 LBS,30,,,,10-15x monthly plan Cowbell,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 7/2,72,,20x Dekalb?,"1,033.29",Feb-27
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 7/2,72,72,Veroni 10-26C,"1,044.17",Feb-27
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 7/2,72,72,Creminelli 30921,"1,045.84",Feb-27
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,0,,,,we don't have project right now,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 7/2,72,72,Creminelli 30921,"1,054.47",Feb-27
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,68,,,,we don't have project right now,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 7/2,72,72,Creminelli 30921,"1,050.98",Feb-27
20438,PROVOLONE CYLINDER CHEESE,110,,,,"1 pallet available for Stock, Veroni preorder",,01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,1304218,06/18/2026,10,,,204.29,01/13/2027
20450,BRA TENERO SOFT,0,,,,not interesting for the stock,,01299,MILD PROVOLONE STICK,269618426,ETA 7/2,72,72,Levoni 2000066378,"1,006.45",Nov-26
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1304220,06/18/2026,24,,,652.84,05/07/2027
20452,TOMA,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL,1296203,05/15/2026,106,,,759.952,12/16/2026
20453,RASCHERA PIEMONTESE DOP,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL,1304244,06/18/2026,240,,,"1,703.92",01/09/2027
20464,ALTA BADIA,0,,,,"few quantities is fine, do we have <20? ",,02073,ASIAGO FRESCO PDO 1/4 WHEEL,269618425,ETA 7/2,240,,,"1,701.72",Feb-27
20480,CACIOTTA MNT HERBS 7 OZ EW,167,,,,,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,05/15/2026,12,,,355.348,12/16/2026
20481,CACIOTTA PEPATO 7 OZ EW,12,,,,,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,,713.88,12/16/2026
20511,FONTAL 1/4 WHEEL,480,,,,Lettieri,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,52,,,,<15?,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1290749,04/24/2026,30,,,571.75,03/22/2027
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,0,,,,<10?,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1290753,04/24/2026,6,,,28.15,11/22/2026
