03057,ASIAGO STAGIONATO DELLA MONTAGNA,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1296207,05/15/2026,60,60,TJ,"1,680.00",05/29/2027
04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),21,,,,monitor <60?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734703,ETA 07/02,60,60,TJ,"1,589.84",May-27
04046,VEZZENA AGED 1/4 WHEEL,31,,,,Selected - Tama - ACE ENDICO,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734703,ETA 07/02,60,60,TJ,"1,488.98",May-27
04067,FONTAL CHEESE WHOLE WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 07/02,60,60,TJ,"1,582.89",May-27
04145,LAGORAI CHEESE 1/4 WHEEL,23,,,,Lettieri doesn't order much,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 07/02,60,60,TJ,"1,530.92",May-27
04154,LAGORAI CHEESE WHOLE WHEEL,6,,,,"It doesn't sell much, Cowbell buys a little bit, <8",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 07/02,60,60,TJ,"1,565.94",May-27
04165,LAGORAI CHEESE 7 OZ EW,0,,,,no sales at the moment,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 07/02,60,60,TJ,"1,576.03",May-27
04168,FONTAL CHEESE 1/4 WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 07/02,60,60,TJ,"1,558.38",May-27
04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),0,,,,KeHE + Olio&Olive + HEB,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734703,ETA 07/02,60,120,TJ,"1,526.65",May-27
04181,VEZZENA CHEESE AGED WHOLE WHEEL,24,,,,CowBell 5x per monthly plan,,20228,CACIOTTA HERBS 6 LBS,1282618,03/23/2026,14,4,Cheese Importers 85084,90.101,02/19/2027
04182,VEZZENA CHEESE 7 OZ EW,0,,,,no ongoing projects,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027
04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,not interesting for the stock,,20229,"CACIOTTA HERBS 1,2 LBS",269618415,ETA 07/02,30,,Cowbell monthly plan?,256.57,Feb-27
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1282636,03/23/2026,111,111,HEB 57X292991,586.08,10/22/2026
04211,ALPEGGIO CHEESE 7 OZ EW,0,,,,no ongoing projects,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,68,,,359.04,10/22/2026
05001,GRANA PADANO PDO WHOLE WHEEL,38,,,,,,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38,,,572.643,01/15/2026
05007,GRANA PADANO PDO 1/8 WHEEL,1456,,,,,,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72,,,1086.98,01/15/2026
05012,GRANA PADANO PDO HOR. CUT,32,,,,Selected,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,23,,,121.44,09/08/2026
05018,GRANA PADANO 1/8 MIN 16 MESI,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1280644,03/16/2026,144,,,760.32,09/27/2026
05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,147,,,,,,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,12,,KeHE? Lettieri?,63.36,12/16/2026
05033,PARMIGIANO REGGIANO PDO WHOLE WHEEL 24 MESI,0,,,,not interesting for the stock,,20511,FONTAL CHEESE 1/4 WHEEL,1290759,04/24/2026,240,,,1451.72,11/22/2026
05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL 18mo,40,,,,,,20511,FONTAL CHEESE 1/4 WHEEL,1290765,04/24/2026,240,,,1468.41,11/22/2026
05091,GRANA PADANO 7OZ,0,,,,we don't have project right now,,20511,FONTAL CHEESE 1/4 WHEEL,1290766,04/24/2026,240,,,1526.75,11/22/2026
05093,GRANA PADANO WW 16 MESI,0,,,,,,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,60,8,DeKalb LSDELI126051349,183.1,07/15/2027
05095,TRENTIN GRANA PDO CHEESE,0,,,,"no need to reorder it until September 2026, ask Stefano",,20520,TALEGGIO CHEESE PDO WHOLE WHEEL,1304254,06/18/2026,18,18,"8x DeKalb LSDELI126051349, 10x Cheese Importers 85084",89.1,07/15/2027
05600,PARMIGIANO 7OZ,0,,,,we don't have project right now,,20533,AGED TRUFFLE CHEESE BLACK,1290735,04/24/2026,54,54,Baldor,262.723,11/22/2026
05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,73,,,,"Greg 12x monthly plan and ACE, we monitor, next",,20533,AGED TRUFFLE CHEESE BLACK,1296197,05/15/2026,120,120,"Baldor, problem in the production solved? Ask Italy",570.37,12/16/2026
05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,24,,,,ACE Endico,,20569,BIANCO D'ITALIA 1/4 WHEEL,1285661,04/03/2026,84,,Cowbell monthly plan? June,1609.322,03/09/2027
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,20569,BIANCO D'ITALIA 1/4 WHEEL,1290733,04/24/2026,100,,Cowbell monthly plan? July,1929.8,03/20/2027
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,30,,,381.61,05/07/2027
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,40020,MONTASIO CHEESE WHOLE WHEEL,1304214,06/18/2026,60,,,778.95,05/09/2027
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285660,04/03/2026,9,,Cowbell monthly plan,506.547,03/06/2027
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285662,04/03/2026,45,,,2524.23,03/06/2027
20150,CACIOTTA BLACK TRUFFLES 6 LBS,190,,,,average purchase TONY 55 per month,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266069,01/16/2026,36,,,2142.7,10/09/2026
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266067,01/16/2026,36,,,"2,132.76",10/10/2026
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,67,,,,"15x Greg monthly plan, we monitor",,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,22,,,673.58,04/10/2027
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,-60,,,,TJ preorder,,40107,PIAVE MEZZANO PDO WHOLE WHEEL,1255292,12/05/2025,18,,,246.841,11/08/2026
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,40109,PIAVE VECCHIO PDO > 6 MONTHS,1255287,12/05/2025,23,,,309.856,11/08/2026
20229,CACIOTTA HERBS 1.2 LBS,30,,,,10-15x monthly plan Cowbell,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,269618427,ETA 07/02,30,,,410.99,Feb-27
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,40169,RICOTTA SALATA V.P.,1285659,04/03/2026,8,,,119.49,12/06/2026
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,80,4,"Cheese Importers 85084, Selected",652.22,02/04/2027
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,0,,,,we don't have project right now,,40175,AGED PECORINO TOSCANO PDO WW,1285643,04/03/2026,22,,Selected,176.587,03/04/2027
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,68,,,,we don't have project right now,,01032,SHARP PROVOLONE,1290757,04/24/2026,18,7,"Cheese Importers 85084, Cowbell 0.5$/lbs promotion next order",275.872,11/22/2026
20438,PROVOLONE CYLINDER CHEESE,110,,,,"1 pallet available for Stock, Veroni preorder",,01032,SHARP PROVOLONE,269618428,ETA 07/02,72,,,"1,097.59",Feb-27
20450,BRA TENERO SOFT,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 07/02,72,20,DeKalb LSDELI126051349,"1,033.29",Feb-27
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 07/02,72,72,Veroni 10-26C,"1,044.17",Feb-27
20452,TOMA,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 07/02,72,72,"Creminelli, PO?","1,045.84",Feb-27
20453,RASCHERA PIEMONTESE DOP,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 07/02,72,72,"Creminelli, PO?","1,054.47",Feb-27
20464,ALTA BADIA,0,,,,"few quantities is fine, do we have <20? ",,01186,SMOKED PROVOLONE CYLINDER,40626159,ETA 07/02,72,72,"Creminelli, PO?","1,050.98",Feb-27
20480,CACIOTTA MNT HERBS 7 OZ EW,167,,,,,,01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,1304218,06/18/2026,20,10,Cheese Importers 85084,408.57,01/13/2027
20481,CACIOTTA PEPATO 7 OZ EW,12,,,,,,01299,MILD PROVOLONE STICK,269618426,ETA 07/02,72,72,Levoni 2000066378,"1,006.45",Nov-26
20511,FONTAL 1/4 WHEEL,720,,,,Lettieri,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1282622,03/23/2026,7,,,198.872,02/13/2027
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,52,,,,<15?,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1304220,06/18/2026,24,,,652.84,05/07/2027
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,0,,,,<10?,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1296203,05/15/2026,118,,,855.132,12/16/2026
20533,AGED TRUFFLE CHEESE BLACK,0,,,,"Baldor, non possiamo restare senza,",,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1304244,06/18/2026,240,,,"1,703.92",01/09/2027
20567,CASTELMAGNO DOP,0,,,,"not interesting for the stock, Import no possible, Supplier withou FDA Nr.",,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,269618425,ETA 07/02,240,,,"1,701.72",Feb-27
20569,BIANCO D'ITALIA 1/4 WHEEL,184,,,,Cowbell,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,05/15/2026,17,5,DeKalb LSDELI126051349,505.224,12/16/2026
20584,STELVIO PDO CHEESE WHOLE WHEEL,0,,,,<30?,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,,713.88,12/16/2026
20586,LAGREIN,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1280623,03/16/2026,17,17,DeKalb LSDELI126051349,309.03,01/18/2027
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1290749,04/24/2026,30,,,571.75,03/22/2027
20702,PECORINO CURRY,0,,,,not interesting for the stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1290753,04/24/2026,6,,,26.84,11/22/2026
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,24,,,119.85,01/09/2027
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,54,,,"1,001.16",08/30/2026
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,6,2,DeKalb LSDELI126051349,35.92,10/22/2026
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,17,,,111.34,11/22/2026
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,30,,,,,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1287530,04/10/2026,7,,,37.291,11/28/2026
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,24,,,119.91,12/16/2026
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,23,,,156.045,12/16/2026
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,6,,,180.75,09/13/2026
30014,APERICHEESE YELLOW ,0,,,,product ready? NEW,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),AIR FREIGHT,ETA 06/28,120,120,HEB 57X292991,,
30015,APERICHEESE RED,0,,,,product ready? NEW,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),AIR FREIGHT,ETA 06/28,120,120,HEB 57X292991,,
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1225718,08/21/2025,3,,,64.032,07/24/2026
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,21,,,426.79,04/15/2027
40020,MONTASIO CHEESE WHOLE WHEEL,60,,,,do we have <25?,,05001,GRANA PADANO PDO WHOLE WHEEL,1296214,05/15/2026,8,,,654.87,04/15/2027
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,05001,GRANA PADANO PDO WHOLE WHEEL,1304221,06/18/2026,30,,,2458.88,05/07/2027
40103,PECORINO ROMANO PDO WHOLE WHEEL,54,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1304235,06/18/2026,104,,,"2,167.03",01/07/2027
40104,PECORINO ROMANO PDO 1/4 WHEEL,72,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1304241,06/18/2026,104,,,"2,105.11",01/07/2027
40105,PECORINO GRANGLONA CHEESE,22,,,,Selected,,05007,GRANA PADANO PDO 1/8 WHEEL,1304246,06/18/2026,104,,,"2,148.71",01/07/2027
40107,PIAVE MEZZANO PDO WHOLE WHEEL,18,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1304247,06/18/2026,104,,,"2,180.25",01/07/2027
40109,PIAVE VECCHIO PDO > 6 MONTHS,23,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269618407,ETA 07/02,104,,,"2,234.66",Jan-27
40130,MONTASIO CHEESE PDO 1/4 WHEEL,30,,,,main Customer Ace Endico,,05007,GRANA PADANO PDO 1/8 WHEEL,269618412,ETA 07/02,104,,,"2,241.17",Jan-27
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,05007,GRANA PADANO PDO 1/8 WHEEL,269618406,ETA 07/02,104,,,"2,224.38",Jan-27
40158,PIAVE VECCHIO PDO > 12 MONTHS,0,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269618413,ETA 07/02,104,,,"2,218.98",Jan-27
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,05007,GRANA PADANO PDO 1/8 WHEEL,269618404,ETA 07/02,104,,,"2,226.75",Jan-27
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269618411,ETA 07/02,104,,,"2,167.57",Jan-27
40169,RICOTTA SALATA V.P.,8,,,,Main customer DeKalb,,05007,GRANA PADANO PDO 1/8 WHEEL,269618409,ETA 07/02,104,,,"2,129.59",Jan-27
40174,PECORINO TOSCANO PDO WW,76,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,269618410,ETA 07/02,104,,,"2,175.31",Jan-27
40175,PECORINO TOSCANO PDO WW AGED,22,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,269618408,ETA 07/02,104,,,"2,182.45",Jan-27
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,05007,GRANA PADANO PDO 1/8 WHEEL,269618405,ETA 07/02,104,,,"2,149.43",Jan-27
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296216,05/15/2026,16,,Selected,673.23,12/16/2026
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296217,05/15/2026,16,,Selected,673.23,12/16/2026
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1290745,04/24/2026,48,,,1107.112,03/27/2027
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1304215,06/18/2026,99,,,2181.3,05/18/2027
,,,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1166621,01/23/2025,10,,,905.14,12/05/2025
,,,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1285651,04/03/2026,30,,,2720.83,03/06/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1296215,05/15/2026,13,,Cowbell monthly plan,1070.446,04/15/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1304211,06/18/2026,30,,,2471.04,05/07/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,623115206,ETA 07/02,30,,,"2,484.11",Jun-27
,,,,,,,,05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,1270329,02/04/2026,24,,,493.27,09/08/2026
