05007,GRANA PADANO PDO 1/8 WHEEL,1888,,,,,,20228,CACIOTTA HERBS 6 LBS,1282618,03/23/2026,10,,,64.357,02/19/2027
05012,GRANA PADANO PDO HOR. CUT,32,,,,Selected,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027
05018,GRANA PADANO 1/8 MIN 16 MESI,0,,,,not interesting for the stock 2024,,20229,"CACIOTTA HERBS 1,2 LBS",1308180,07/03/2026,27,,Cowbell monthly plan August,230.91,02/03/2027
05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,147,,,,always have at least 1/2 pallet (check with Stefano),,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,269576618,ETA 07/23,144,72,72x HEB 57X331093,760.32,Feb-27
05033,PARMIGIANO REGGIANO PDO WHOLE WHEEL 24 MESI,0,,,,not interesting for the stock,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,269576617,ETA 07/23,144,,HEB,760.32,Feb-27
05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL 18mo,25,,,,,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,68,,HEB discontinued,359.04,10/22/2026
05091,GRANA PADANO 7OZ,0,,,,we don't have project right now,,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38,38,expired,572.64,01/15/2026
05093,GRANA PADANO WW 16 MESI,0,,,,,,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72,72,expired,"1,086.98",01/15/2026
05095,TRENTIN GRANA PDO CHEESE,0,,,,"no need to reorder it until September 2026, ask Stefano",,20438,PROVOLONE CYLINDER CHEESE,190626174,ETA 07/23,72,72,Veroni 13-26C,"1,074.33",Feb-27
05600,PARMIGIANO 7OZ,0,,,,we don't have project right now,,20438,PROVOLONE CYLINDER CHEESE,190626174,ETA 07/23,72,72,Veroni 13-26C,"1,078.35",Feb-27
05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,58,,,,"Greg 12x monthly plan and ACE, we monitor, next",,20438,PROVOLONE CYLINDER CHEESE,190626174,ETA 07/23,72,72,"52x Veroni 16-26C, 20x Dekalb LSDELI126071070","1,074.16",Feb-27
05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,24,,,,ACE Endico pre order?,,20438,PROVOLONE CYLINDER CHEESE,90726195,ETA 08/04,72,72,Veroni 18-26C,1060.19,MARCH 2027
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,90726195,ETA 08/04,72,72,Veroni 18-26C,1053.16,MARCH 2027
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,70726195,ETA 08/04,72,72,Veroni 18-26C,1056.52,MARCH 2027
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,90726195,ETA 08/04,72,,Dekalb?,"1,058.06",MARCH 2027
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,20450,BRA TENERO PDO CHEESE,26200314170,ETA 08/04,6,,Specialty Merchant,94.97,JANUARY 2027
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20453,RASCHERA PDO CHEESE,26200331170,ETA 08/04,6,,Specialty Merchant,108.34,JANUARY 2027
20150,CACIOTTA BLACK TRUFFLES 6 LBS,150,,,,average purchase TONY 55 per month,,20464,ALTA BADIA CHEESE WHOLE WHEEL,210461197,ETA 07/23,24,,Cowbell monthly plan August,515.80,Feb-27
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,23,,,121.44,09/08/2026
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,63,,,,"15x Greg monthly plan, we monitor",,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,12,,,63.36,12/16/2026
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,300,,,,TJ preorder,,20511,FONTAL CHEESE 1/4 WHEEL,1290765,04/24/2026,240,5,Dekalb LSDELI126071070 / Lettieri?,1468.41,11/22/2026
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,52,10,Dekalb LSDELI126071070,158.69,07/15/2027
20229,CACIOTTA HERBS 1.2 LBS,27,,,,10-15x monthly plan Cowbell,,20520,TALEGGIO CHEESE PDO WHOLE WHEEL,4147,ETA 07/23,60,22,2x Dekalb LSDELI126071070/ 20x Cheese Importers 85661,280.64,Jul-27
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,20533,AGED TRUFFLE CHEESE BLACK,1296197,05/15/2026,90,,Baldor,427.78,12/16/2026
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,269536815,ETA 08/04,120,,,609.14,MARCH 2027
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,216,,,,HEB 1 pallet + something small for Lettieri,,20569,BIANCO D'ITALIA 1/4 WHEEL,1285661,04/03/2026,84,,Cowbell monthly plan September,"1,609.32",03/09/2027
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,68,,,,we don't have project right now,,20584,STELVIO PDO CHEESE WHOLE WHEEL,860561197,ETA 07/23,15,,,326.32,Feb-27
20438,PROVOLONE CYLINDER CHEESE,72,,,,"1 pallet available for Stock, Veroni preorder",,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,24,,Ace Endico?,305.29,05/07/2027
20450,BRA TENERO SOFT,6,,,,Specialty Merchants ,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,250425193,ETA 07/23,30,,,391.58,Jun-27
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,40020,MONTASIO CHEESE WHOLE WHEEL,1304214,06/18/2026,15,,,194.74,05/09/2027
20452,TOMA,0,,,,not interesting for the stock,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285662,04/03/2026,27,20,Dekalb LSDELI126071070,"1,514.54",03/06/2027
20453,RASCHERA PIEMONTESE DOP,6,,,,Specialty Merchants ,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266069,01/16/2026,10,,,595.19,10/09/2026
20464,ALTA BADIA,24,,,,"few quantities is fine, do we have <20? Specialty Merchants/CowBell/DiPalo",,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266067,01/16/2026,36,,,2132.759,10/10/2026
20480,CACIOTTA MNT HERBS 7 OZ EW,23,,,,,,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,22,,,673.581,04/10/2027
20481,CACIOTTA PEPATO 7 OZ EW,12,,,,,,40107,PIAVE MEZZANO PDO WHOLE WHEEL,1255292,12/05/2025,18,,,246.841,11/08/2026
20511,FONTAL 1/4 WHEEL,235,,,,Lettieri,,40109,PIAVE VECCHIO PDO > 6 MONTHS,1255287,12/05/2025,18,,Cheese Importers?,242.50,11/08/2026
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,42,,,,<15?,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,1308186,07/03/2026,24,,Ace Endico?,328.792,02/04/2027
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,38,,,,<10? Cheese importers wants stock consistent? (45),,40158,PIAVE VECCHIO PDO >12 MONTHS,625130177,ETA 07/23,30,,Ace Endico?,374.16,Jun-27
20533,AGED TRUFFLE CHEESE BLACK,210,,,,News about production? Baldor,,40169,RICOTTA SALATA V.P.,1285659,4/3/2026,8,8,Dekalb LSDELI126071070,119.49,12/06/2026
20567,CASTELMAGNO DOP,0,,,,"not interesting for the stock, Import no possible, Supplier withou FDA Nr.",,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,71,,Selected,578.845,02/04/2027
20569,BIANCO D'ITALIA 1/4 WHEEL,84,,,,Cowbell,,40174,PECORINO TOSCANO PDO WW,TF205081,ETA 07/23,80,,Selected,752.74,Feb-27
20584,STELVIO PDO CHEESE WHOLE WHEEL,15,,,,<30?,,40175,AGED PECORINO TOSCANO PDO WW,1285643,04/03/2026,11,11,11x Cheese Importers 85661 / Selected,88.29,03/04/2027
20586,LAGREIN,0,,,,not interesting for the stock,,01032,SHARP PROVOLONE,1308182,07/03/2026,29,,"Cowbell, Dekalb",442.08,02/04/2027
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,1308185,07/03/2026,72,,"52x Veroni 16-26C, 20x Dekalb LSDELI126071070",1033.29,02/03/2027
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,70726196,ETA 08/04,72,,,1030.6,MARCH 2027
20702,PECORINO CURRY,0,,,,not interesting for the stock,,01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,1304218,06/18/2026,10,10,Dekalb LSDELI126071070,204.285,01/13/2027
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1304220,06/18/2026,22,6,Cheese Importers 85661,598.436,05/07/2027
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1304244,06/18/2026,153,,40x Cowbell monthly plan August,1314.933,01/09/2027
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1308183,07/03/2026,240,,,1701.72,02/03/2027
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,269576609,ETA 07/23,120,,,827.17,Feb-27
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,54,,,,keep 25 in stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,269536825,ETA 08/04,120,,,816.02,MARCH 2027
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,02091,ASIAGO FRESCO PDO 7 OZ EW,269536820,ETA 08/04,24,,Lettieri?,126.72,MARCH 2027
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,05/15/2026,12,5,Dekalb LSDELI126071070,355.35,12/16/2026
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,,713.88,12/16/2026
30014,APERICHEESE YELLOW ,0,,,,product ready? NEW,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027
30015,APERICHEESE RED,0,,,,product ready? NEW,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1290749,04/24/2026,30,10,Dekalb LSDELI126071070,571.75,03/22/2027
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,20,,,99.875,01/09/2027
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,269576613,ETA 07/23,24,,,114.99,Feb-27
40020,MONTASIO CHEESE WHOLE WHEEL,15,,,,do we have <25?,,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,54,,,1001.16,08/30/2026
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,4,,,23.95,10/22/2026
40103,PECORINO ROMANO PDO WHOLE WHEEL,7,,,,keep 1-2 pallet in stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,17,,,111.34,11/22/2026
40104,PECORINO ROMANO PDO 1/4 WHEEL,46,,,,keep 1-2 pallet in stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),269576614,ETA 07/23,24,,,144.89,Feb-27
40105,PECORINO GRANGLONA CHEESE,22,,,,Selected - waiting for feedback,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,19,,,94.928,12/16/2026
40107,PIAVE MEZZANO PDO WHOLE WHEEL,18,,,,,,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,23,,,156.045,12/16/2026
40109,PIAVE VECCHIO PDO > 6 MONTHS,18,,,,,,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,6,,,180.754,09/13/2026
40130,MONTASIO CHEESE PDO 1/4 WHEEL,24,,,,main Customer Ace Endico,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269536813,ETA 08/04,144,144,HEB 57X331093,760.32,MARCH 2027
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269536814,ETA 08/04,144,,HEB,760.32,MARCH 2027
40158,PIAVE VECCHIO PDO > 12 MONTHS,30,,,,"Ace Endico, 30 in stock? ",,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,20,,,406.466,04/15/2027
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,04211,ALPEGGIO CHEESE 7 OZ EW,269536821,ETA 08/04,24,,,126.72,MARCH 2027
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,05001,GRANA PADANO PDO WHOLE WHEEL,1304221,06/18/2026,21,2,Cheese Importers 85661,1721.216,05/07/2027
40169,RICOTTA SALATA V.P.,0,,,,Main customer DeKalb,,05001,GRANA PADANO PDO WHOLE WHEEL,82025192,ETA 07/23,30,,,"2,484.17",Jun-27
40174,PECORINO TOSCANO PDO WW,151,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1308160,07/03/2026,104,,,2129.59,01/30/2027
40175,PECORINO TOSCANO PDO WW AGED,0,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1308161,07/03/2026,104,,,2175.31,01/30/2027
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,05007,GRANA PADANO PDO 1/8 WHEEL,1308163,07/03/2026,104,,,2226.75,01/30/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308164,07/03/2026,104,,,2234.66,01/30/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308176,07/03/2026,104,,,2224.38,01/30/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308162,07/03/2026,104,,,2149.43,01/31/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308167,07/03/2026,104,,,2182.45,01/31/2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576606,ETA 07/23,108,,,"2,328.70",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576608,ETA 07/23,108,,,"2,331.87",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576607,ETA 07/23,108,,,"2,345.59",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576605,ETA 07/23,108,,,"2,354.29",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576625,ETA 07/23,104,,Gordon (because 104 cases),"2,252.32",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269576624,ETA 07/23,104,,Gordon (because 104 cases),"2,240.29",Feb-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536807,ETA 08/04,104,,,2181.06,MARCH 2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536806,ETA 08/04,104,,,2193.57,MARCH 2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536804,ETA 08/04,104,,,2182.04,MARCH 2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536805,ETA 08/04,104,,,2230.52,MARCH 2027
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536808,ETA 08/04,104,,,2184.26,MARCH 2027
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296216,05/15/2026,16,,Selected,673.23,12/16/2026
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296217,05/15/2026,16,,Selected,673.23,12/16/2026
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1290745,04/24/2026,48,,,1107.112,03/27/2027
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,94275,ETA 07/23,99,,,"2,187.31",Jun-27
,,,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1285651,04/03/2026,25,,,2267.357,03/06/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1304211,06/18/2026,28,,Cowbell monthly plan August,2306.304,05/07/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1308166,07/03/2026,30,,,2484.11,06/04/2027
,,,,,,,,05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,269536828,ETA 08/04,24,,,490.55,MARCH 2027
