,,,,,, ,,Updated on:,22 July 2026 14:03,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date
01032,SHARP PROVOLONE (HALF CYLINDER),29,,,,"only Cowbell and Dekalb, Cheese Imp order that item ",,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1296192,05/15/2026,60,,,376.71,04/15/2027
01034,SMOKED PROVOLONE 4.4 LBS,0,,,,only for SK Food when ordered,,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1290750,04/24/2026,90,,,586.56,03/22/2027
01021,PROVOLONE PAN DI CACIO,0,,,,not interesting for the stock,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1287527,04/10/2026,3,,,24.609,11/28/2026
01101,PROVOLONE SHARP CHEESE 7 OZ EW,0,,,,we don't have project right now,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1296193,05/15/2026,60,,,464.73,12/16/2026
01126,SHARP PROVOLONE WITH ROPE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304216,06/18/2026,60,60,TJ,"1,680.00",05/05/2027
01154,MILD PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308168,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
01155,SMOKED PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308170,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
01174,SMOKED PROVOLONE 7 OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308172,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
01186,SMOKED PROVOLONE CYLINDER,144,,,,we try to have 1 pallet available in stock. Veroni-Creminelli preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308174,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
01190,PROVOLONE MILD CHEESE 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308175,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,0,,,,"only for Cheese Importers, was the first order good?  He needs more?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308177,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
01299,MILD PROVOLONE STICK,0,,,,Levoni preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308178,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
02005,ASIAGO FRESCO PDO WHOLE WHEEL,16,,,,"main customer Alma, do we have < 33?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308179,07/03/2026,60,60,TJ,"1,680.00",05/05/2027
02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,633,,,,"Cowbell monthly plan 50x, average purchase TONY 10x, ACE Endico sometimes, Baldor 108x",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ,"1,490.53",Jun-27
02091,ASIAGO FRESCO PDO 7 OZ EW,24,,,,always 5-10 cases/month available per Lettieri,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ,"1,558.33",Jun-27
02206,MOUNTAIN ASIAGO FRESCO PDO WW,55,,,,3x CowBell monthly plan?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ,"1,539.31",Jun-27
02302,ASIAGO FRESCO PDO SQUARE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ,"1,481.90",Jun-27
03003,ASIAGO VECCHIO PDO WHOLE WHEEL,20,,,,"De Kalb 30 per month, next container if we go down <30",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ,"1,471.68",Jun-27
03010,ASIAGO AGED 1/4 WHEEL,0,,,,ACE Endico? DeKalb?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ,"1,525.96",Jun-27
03014,ASIAGO VECCHIO PDO 1/4 WHEEL,44,,,,"Selected, <24?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ,"1,491.28",Jun-27
03023,ASIAGO AGED WHOLE WHEEL,54,,,,"occasionally DeKalb, as long as we are >20, no thanks",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ,"1,479.11",Jun-27
03044,ASIAGO AGED PDO 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ,"1,465.66",Jun-27
03073,AGED ASIAGO VECCHIO 9 MESI 7OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ,"1,555.52",Jun-27
03057,ASIAGO STAGIONATO DELLA MONTAGNA,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,60,TJ,1404.87,JUNE 2027
04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),45,,,,monitor <30?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,60,TJ,1506.43,JUNE 2027
04046,VEZZENA AGED 1/4 WHEEL,19,,,,Selected - Tama - ACE ENDICO,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,60,TJ,1481.37,JUNE 2027
04067,FONTAL CHEESE WHOLE WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,60,TJ,1446.22,JULY 2027
04145,LAGORAI CHEESE 1/4 WHEEL,23,,,,Lettieri doesn't order much,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,60,TJ,1472.62,JULY 2027
04154,LAGORAI CHEESE WHOLE WHEEL,6,,,,"It doesn't sell much, Cowbell buys a little bit, <8",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,60,TJ,1380.81,JULY 2027
04165,LAGORAI CHEESE 7 OZ EW,0,,,,no sales at the moment,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,60,TJ,1470.94,JULY 2027
04168,FONTAL CHEESE 1/4 WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,60,TJ,"1,394.08",JULY 2027
04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),144,,,,KeHE + Olio&Olive + HEB,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,60,TJ,"1,524.31",JULY 2027
04181,VEZZENA CHEESE AGED WHOLE WHEEL,20,,,,CowBell 5x per monthly plan,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,60,TJ,"1,527.07",JULY 2027
04182,VEZZENA CHEESE 7 OZ EW,0,,,,no ongoing projects,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,,,"1,471.43",JULY 2027
04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,replaced with 04028,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,,,"1,584.54",JULY 2027
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock 2024,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,,,1506.39,JULY 2027
04211,ALPEGGIO CHEESE 7 OZ EW,24,,,,Lettieri sometimes orders 10-15 cases,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,,,1518.9,JULY 2027
05001,GRANA PADANO PDO WHOLE WHEEL,49,,,,slow mover but keep some in stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,,,"1,521.20",JULY 2027
