,,,,,, ,,Updated on:,28 July 2026 11:52,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date
01032,SHARP PROVOLONE (HALF CYLINDER),29,,,,"only Cowbell and Dekalb, Cheese Imp order that item ",,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1296192,05/15/2026,60,,,376.71,04/15/2027
01034,SMOKED PROVOLONE 4.4 LBS,0,,,,only for SK Food when ordered,,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1290750,04/24/2026,90,,,586.56,03/22/2027
01021,PROVOLONE PAN DI CACIO,0,,,,not interesting for the stock,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1287527,04/10/2026,3,,,24.609,11/28/2026
01101,PROVOLONE SHARP CHEESE 7 OZ EW,0,,,,we don't have project right now,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1296193,05/15/2026,60,,,464.73,12/16/2026
01126,SHARP PROVOLONE WITH ROPE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308174,07/03/2026,60,TJs,8/10,"1,680.00",05/05/2027
01154,MILD PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308177,07/03/2026,60,TJs,8/10,"1,680.00",05/05/2027
01155,SMOKED PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308178,07/03/2026,60,TJs,8/12,"1,680.00",05/05/2027
01174,SMOKED PROVOLONE 7 OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308179,07/03/2026,60,TJs,8/12,"1,680.00",05/05/2027
01186,SMOKED PROVOLONE CYLINDER,72,,,,we try to have 1 pallet available in stock. Veroni-Creminelli preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312763,07/23/2026,60,TJs,8/12,"1,680.00",06/18/2027
01190,PROVOLONE MILD CHEESE 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312768,07/23/2026,60,TJs,8/13,"1,680.00",06/18/2027
01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,0,,,,Cheese Importers and Dekalb01269,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312782,07/23/2026,60,TJs,8/17,"1,680.00",06/18/2027
01299,MILD PROVOLONE STICK,0,,,,Levoni preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312789,07/23/2026,60,TJs,8/19,"1,680.00",06/18/2027
02005,ASIAGO FRESCO PDO WHOLE WHEEL,14,,,,"main customer Alma, do we have < 33?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312790,07/23/2026,60,TJs,8/20,"1,680.00",06/18/2027
02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,603,,,,"Cowbell monthly plan 50x, average purchase TONY 10x, ACE Endico sometimes, Baldor 108x",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312796,07/23/2026,60,TJs,8/24,"1,680.00",06/18/2027
02091,ASIAGO FRESCO PDO 7 OZ EW,24,,,,always 5-10 cases/month available per Lettieri,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312780,07/23/2026,60,TJs,8/26,"1,680.00",06/19/2027
02206,MOUNTAIN ASIAGO FRESCO PDO WW,55,,,,3x CowBell monthly plan?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312784,07/23/2026,60,TJs,8/27,"1,680.00",06/19/2027
02302,ASIAGO FRESCO PDO SQUARE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312785,07/23/2026,60,TJs,8/31,"1,680.00",06/19/2027
03003,ASIAGO VECCHIO PDO WHOLE WHEEL,20,,,,"De Kalb 30 per month, next container if we go down <30",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1312781,07/23/2026,60,TJs,8/31,"1,680.00",06/20/2027
03010,ASIAGO AGED 1/4 WHEEL,0,,,,ACE Endico? DeKalb?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,TJs,9/2,"1,404.87",Jun-27
03014,ASIAGO VECCHIO PDO 1/4 WHEEL,44,,,,"Selected, <24?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,TJs,9/2,"1,506.43",Jun-27
