03023,ASIAGO AGED WHOLE WHEEL,54,,,,"occasionally DeKalb, as long as we are >20, no thanks",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,TJs,9/2,"1,481.37",Jun-27
03044,ASIAGO AGED PDO 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,TJs,9/7,"1,446.22",Jul-27
03073,AGED ASIAGO VECCHIO 9 MESI 7OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536801,ETA 08/04,60,TJs,9/9,"1,472.62",Jul-27
03057,ASIAGO STAGIONATO DELLA MONTAGNA,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,TJs,9/16,"1,380.81",Jul-27
04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),45,,,,monitor <30?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,TJs,9/16,"1,470.94",Jul-27
04046,VEZZENA AGED 1/4 WHEEL,19,,,,Selected - Tama - ACE ENDICO,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,TJs,9/16,"1,394.08",Jul-27
04067,FONTAL CHEESE WHOLE WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,TJs,9/16,"1,524.31",Jul-27
04145,LAGORAI CHEESE 1/4 WHEEL,23,,,,Lettieri doesn't order much,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536803,ETA 08/04,60,TJs,9/23,"1,527.07",Jul-27
04154,LAGORAI CHEESE WHOLE WHEEL,6,,,,"It doesn't sell much, Cowbell buys a little bit, <8",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,TJs,9/23,"1,471.43",Jul-27
04165,LAGORAI CHEESE 7 OZ EW,0,,,,no sales at the moment,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,TJs,9/30,"1,584.54",Jul-27
04168,FONTAL CHEESE 1/4 WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,TJs,9/30,"1,506.39",Jul-27
04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),72,,,,KeHE + Olio&Olive + HEB,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,TJs,9/30,"1,518.90",Jul-27
04181,VEZZENA CHEESE AGED WHOLE WHEEL,20,,,,CowBell 5x per monthly plan,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269536802,ETA 08/04,60,,,"1,521.20",Jul-27
04182,VEZZENA CHEESE 7 OZ EW,0,,,,no ongoing projects,,20228,CACIOTTA HERBS 6 LBS,1282618,03/23/2026,10,,,64.357,02/19/2027
04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,replaced with 04028,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock 2024,,20229,"CACIOTTA HERBS 1,2 LBS",1308180,07/03/2026,27,,Cowbell monthly plan August,230.913,02/03/2027
04211,ALPEGGIO CHEESE 7 OZ EW,24,,,,Lettieri sometimes orders 10-15 cases,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1312806,07/23/2026,144,72,72x HEB 57X331093,760.32,02/24/2027
05001,GRANA PADANO PDO WHOLE WHEEL,49,,,,slow mover but keep some in stock,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1312807,07/23/2026,144,144,HEB 57X340372,760.32,02/24/2027
05007,GRANA PADANO PDO 1/8 WHEEL,1888,,,,,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,68,,HEB dico'd,359.04,10/22/2026
05012,GRANA PADANO PDO HOR. CUT,32,,,,Selected,,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38,38,exp,572.64,01/15/2026
05018,GRANA PADANO 1/8 MIN 16 MESI,0,,,,not interesting for the stock 2024,,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72,72,exp,"1,086.98",01/15/2026
05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,117,,,,always have at least 1/2 pallet (check with Stefano),,20438,PROVOLONE CYLINDER CHEESE,90726195,ETA 08/04,72,72,Veroni 18-26C,"1,060.19",Mar-27
05033,PARMIGIANO REGGIANO PDO WHOLE WHEEL 24 MESI,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,90726195,ETA 08/04,72,72,Veroni 18-26C,"1,053.16",Mar-27
05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL 18mo,25,,,,,,20438,PROVOLONE CYLINDER CHEESE,70726195,ETA 08/04,72,72,Veroni 18-26C,"1,056.52",Mar-27
05091,GRANA PADANO 7OZ,0,,,,we don't have project right now,,20438,PROVOLONE CYLINDER CHEESE,90726195,ETA 08/04,72,,Dekalb?,"1,058.06",Mar-27
05093,GRANA PADANO WW 16 MESI,0,,,,,,20450,BRA TENERO PDO CHEESE,26200314170,ETA 08/04,6,,Specialty Merch?,94.97,Jan-27
05095,TRENTIN GRANA PDO CHEESE,0,,,,"no need to reorder it until September 2026, ask Stefano",,20453,RASCHERA PDO CHEESE,26200331170,ETA 08/04,6,,Specialty Merch?,108.34,Jan-27
05600,PARMIGIANO 7OZ,0,,,,we don't have project right now,,20464,ALTA BADIA CHEESE WHOLE WHEEL,1312797,07/23/2026,24,,Cowbell Monthly plan august,515.80,02/13/2027
05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,88,,,,"Greg 12x monthly plan and ACE, we monitor, next",,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,23,,,121.44,09/08/2026
05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,48,,,,ACE Endico pre order?,,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,12,,,63.36,12/16/2026
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,20511,FONTAL CHEESE 1/4 WHEEL,1290765,04/24/2026,235,,Lettieri?,"1,468.41",11/22/2026
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,42,,,158.69,07/15/2027
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,20520,TALEGGIO CHEESE PDO WHOLE WHEEL,1312778,07/23/2026,38,,,280.64,07/02/2027
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,1296197,05/15/2026,84,,,427.78,12/16/2026
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,269536815,ETA 08/04,120,,,609.14,Mar-27
20150,CACIOTTA BLACK TRUFFLES 6 LBS,150,,,,average purchase TONY 55 per month,,20569,BIANCO D'ITALIA 1/4 WHEEL,1285661,04/03/2026,84,,Cowbell monthly plan Sept,"1,609.32",03/09/2027
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20584,STELVIO PDO CHEESE WHOLE WHEEL,1312762,07/23/2026,15,,,326.32,02/13/2027
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,63,,,,"15x Greg monthly plan, we monitor",,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,24,,Ace Endico?,305.29,05/07/2027
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1740,,,,TJ preorder,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1312770,07/23/2026,30,,,391.58,06/17/2027
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,40020,MONTASIO CHEESE WHOLE WHEEL,1304214,06/18/2026,15,,,194.74,05/09/2027
20229,CACIOTTA HERBS 1.2 LBS,27,,,,10-15x monthly plan Cowbell,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285662,04/03/2026,7,,,"1,514.54",03/06/2027
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266069,01/16/2026,10,,,595.19,10/09/2026
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266067,01/16/2026,36,,,"2,132.76",10/10/2026
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,72,,,,HEB 1 pallet + something small for Lettieri,,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,22,,,673.58,04/10/2027
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,68,,,,we don't have project right now,,40107,PIAVE MEZZANO PDO WHOLE WHEEL,1255292,12/05/2025,18,,,246.841,11/08/2026
20438,PROVOLONE CYLINDER CHEESE,72,,,,"1 pallet available for Stock, Veroni preorder",,40109,PIAVE VECCHIO PDO > 6 MONTHS,1255287,12/05/2025,13,,,242.496,11/08/2026
20450,BRA TENERO SOFT,6,,,,Specialty Merchants ,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,1308186,07/03/2026,24,,Ace Endico?,328.792,02/04/2027
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,40158,PIAVE VECCHIO PDO >12 MONTHS,1312794,07/23/2026,30,,Ace Endico?,374.16,06/21/2027
20452,TOMA,0,,,,not interesting for the stock,,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,71,,Selected,578.845,02/04/2027
20453,RASCHERA PIEMONTESE DOP,6,,,,Specialty Merchants ,,40174,PECORINO TOSCANO PDO WW,1312779,7/23/2026,80,,Selected,752.74,02/17/2027
20464,ALTA BADIA,24,,,,"few quantities is fine, do we have <20? Specialty Merchants/CowBell/DiPalo",,01032,SHARP PROVOLONE,1308182,07/03/2026,29,,"Cowbell, Dekalb",442.084,02/04/2027
20480,CACIOTTA MNT HERBS 7 OZ EW,23,,,,,,01186,SMOKED PROVOLONE CYLINDER,70726196,ETA 08/04,72,,,"1,030.60",Mar-27
20481,CACIOTTA PEPATO 7 OZ EW,12,,,,,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1304220,06/18/2026,14,,,598.436,05/07/2027
20511,FONTAL 1/4 WHEEL,235,,,,Lettieri,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1312791,07/23/2026,120,,,827.17,02/20/2027
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,42,,,,<15?,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1304244,06/18/2026,123,, Cowbell monthly plan August,1087.743,01/09/2027
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,38,,,,<10? Cheese importers wants stock consistent? (45),,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1308183,07/03/2026,240,,,1701.72,02/03/2027
20533,AGED TRUFFLE CHEESE BLACK,204,,,,News about production? Baldor,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,269536825,ETA 08/04,120,,,816.02,Mar-27
20569,BIANCO D'ITALIA 1/4 WHEEL,84,,,,Cowbell,,02091,ASIAGO FRESCO PDO 7 OZ EW,269536820,ETA 08/04,24,,Lettieri?,126.72,Mar-27
20584,STELVIO PDO CHEESE WHOLE WHEEL,15,,,,<30?,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,05/15/2026,7,,,355.35,12/16/2026
20586,LAGREIN,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,,713.88,12/16/2026
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1290749,04/24/2026,20,,,571.75,03/22/2027
20702,PECORINO CURRY,0,,,,not interesting for the stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,20,,,99.88,01/09/2027
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1312795,07/23/2026,24,,,114.99,02/20/2027
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,54,,,1001.16,08/30/2026
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,4,,,23.946,10/22/2026
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,17,,,111.34,11/22/2026
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,54,,,,keep 25 in stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1312777,07/23/2026,24,,,144.89,02/24/2027
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,19,,,94.928,12/16/2026
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,23,,,156.045,12/16/2026
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,6,,,180.754,09/13/2026
30014,APERICHEESE YELLOW ,0,,,,product ready? NEW,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269536813,ETA 08/04,144,144,HEB 57X331093,760.32,Mar-27
30015,APERICHEESE RED,0,,,,product ready? NEW,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),269536814,ETA 08/04,144,72,HEB 57X340372,760.32,Mar-27
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,20,,,406.466,04/15/2027
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,04211,ALPEGGIO CHEESE 7 OZ EW,269536821,ETA 08/04,24,,Lettieri,126.72,Mar-27
40020,MONTASIO CHEESE WHOLE WHEEL,15,,,,do we have <25?,,05001,GRANA PADANO PDO WHOLE WHEEL,1304221,06/18/2026,19,,,1721.216,05/07/2027
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,05001,GRANA PADANO PDO WHOLE WHEEL,1312775,07/23/2026,30,,,2484.17,06/18/2027
40103,PECORINO ROMANO PDO WHOLE WHEEL,7,,,,keep 1-2 pallet in stock,,05007,GRANA PADANO PDO 1/8 WHEEL,1308160,07/03/2026,104,,,2129.59,01/30/2027
40104,PECORINO ROMANO PDO 1/4 WHEEL,46,,,,keep 1-2 pallet in stock,,05007,GRANA PADANO PDO 1/8 WHEEL,1308161,07/03/2026,104,,,"2,175.31",01/30/2027
40105,PECORINO GRANGLONA CHEESE,22,,,,Selected - waiting for feedback,,05007,GRANA PADANO PDO 1/8 WHEEL,1308163,07/03/2026,104,,,2226.75,01/30/2027
40107,PIAVE MEZZANO PDO WHOLE WHEEL,18,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308164,07/03/2026,104,,,2234.66,01/30/2027
40109,PIAVE VECCHIO PDO > 6 MONTHS,13,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308176,07/03/2026,104,,,2224.38,01/30/2027
40130,MONTASIO CHEESE PDO 1/4 WHEEL,24,,,,main Customer Ace Endico,,05007,GRANA PADANO PDO 1/8 WHEEL,1308162,07/03/2026,104,,,2149.43,01/31/2027
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,05007,GRANA PADANO PDO 1/8 WHEEL,1308167,07/03/2026,104,,,2182.45,01/31/2027
40158,PIAVE VECCHIO PDO > 12 MONTHS,30,,,,"Ace Endico, 30 in stock? ",,05007,GRANA PADANO PDO 1/8 WHEEL,1312765,07/23/2026,104,,Gordon (because 104 cases),2240.29,02/20/2027
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,05007,GRANA PADANO PDO 1/8 WHEEL,1312771,07/23/2026,104,,Gordon (because 104 cases),2252.32,02/20/2027
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312767,07/23/2026,108,,,"2,354.29",02/20/2027
40169,RICOTTA SALATA V.P.,0,,,,Main customer DeKalb,,05007,GRANA PADANO PDO 1/8 WHEEL,1312773,07/23/2026,108,,,"2,331.87",02/20/2027
40174,PECORINO TOSCANO PDO WW,151,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1312786,07/23/2026,108,,,"2,328.70",02/20/2027
40175,PECORINO TOSCANO PDO WW AGED,0,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1312792,07/23/2026,108,,,"2,345.59",02/20/2027
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,05007,GRANA PADANO PDO 1/8 WHEEL,269536807,ETA 08/04,104,,,"2,181.06",Mar-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536806,ETA 08/04,104,,,"2,193.57",Mar-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536804,ETA 08/04,104,,,"2,182.04",Mar-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536805,ETA 08/04,104,,,"2,230.52",Mar-27
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269536808,ETA 08/04,104,,,"2,184.26",Mar-27
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296216,05/15/2026,16,,Selected,673.23,12/16/2026
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296217,05/15/2026,16,,Selected,673.23,12/16/2026
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1290745,04/24/2026,18,,,1107.112,03/27/2027
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1312774,07/23/2026,99,,,2187.31,06/18/2027
,,,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1285651,04/03/2026,25,,,2267.357,03/06/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1304211,06/18/2026,28,,Cowbell monthly plan August,"2,306.30",05/07/2027
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1308166,07/03/2026,30,,,2484.11,06/04/2027
,,,,,,,,05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,269536828,ETA 08/04,24,,,490.55,Mar-27
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1308166,07/03/2026,30,,,2484.11,06/04/2027
,,,,,,,,05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,269536828,ETA 08/04,24,,,490.55,MARCH 2027
