,,,,,, ,,Updated on:,3 July 2026 11:29,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,CS Avail.,Reserved,Comments,Net Avail.,Exp Date
02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,706,,,,"Cowbell monthly plan 50x, average purchase TONY 10x, ACE Endico sometimes, Baldor 108x",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304229,06/18/2026,60,60,TJ 7/22,"1,680.00",05/05/2027
02091,ASIAGO FRESCO PDO 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304230,06/18/2026,60,60,TJ 7/23 (1 of 2),"1,680.00",05/05/2027
02206,MOUNTAIN ASIAGO FRESCO PDO WW,60,,,,3x CowBell monthly plan?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304236,06/18/2026,60,60,TJ 7/23 (2 of 2),"1,680.00",05/05/2027
02302,ASIAGO FRESCO PDO SQUARE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308168,07/03/2026,60,60,TJ 7/27,"1,680.00",05/05/2027
03003,ASIAGO VECCHIO PDO WHOLE WHEEL,30,,,,"De Kalb 30 per month, next container if we go down <30",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308170,07/03/2026,60,60,TJ 7/29,"1,680.00",05/05/2027
03010,ASIAGO AGED 1/4 WHEEL,0,,,,ACE Endico? DeKalb?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308172,07/03/2026,60,60,TJ 8/3,"1,680.00",05/05/2027
03014,ASIAGO VECCHIO PDO 1/4 WHEEL,54,,,,"Selected, <24?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308174,07/03/2026,60,60,TJ 8/5,"1,680.00",05/05/2027
03023,ASIAGO AGED WHOLE WHEEL,54,,,,"occasionally DeKalb, as long as we are >20, no thanks",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308175,07/03/2026,60,60,TJ 8/6,"1,680.00",05/05/2027
03044,ASIAGO AGED PDO 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308177,07/03/2026,60,60,TJ 8/10,"1,680.00",05/05/2027
03073,AGED ASIAGO VECCHIO 9 MESI 7OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308178,07/03/2026,60,60,TJ 8/10,"1,680.00",05/05/2027
03057,ASIAGO STAGIONATO DELLA MONTAGNA,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1308179,07/03/2026,60,60,TJ 8/12,"1,680.00",05/05/2027
04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),45,,,,monitor <30?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1296207,05/15/2026,60,60,TJ 8/12,"1,680.00",05/29/2027
04046,VEZZENA AGED 1/4 WHEEL,31,,,,Selected - Tama - ACE ENDICO,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ 8/12,"1,490.53",Jun-27
04067,FONTAL CHEESE WHOLE WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ 8/13,"1,558.33",Jun-27
04145,LAGORAI CHEESE 1/4 WHEEL,23,,,,Lettieri doesn't order much,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ 8/17,"1,539.31",Jun-27
04154,LAGORAI CHEESE WHOLE WHEEL,6,,,,"It doesn't sell much, Cowbell buys a little bit, <8",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ 8/19,"1,481.90",Jun-27
04165,LAGORAI CHEESE 7 OZ EW,0,,,,no sales at the moment,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576601,ETA 07/23,60,60,TJ 8/20,"1,471.68",Jun-27
04168,FONTAL CHEESE 1/4 WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ 8/26,"1,525.96",Jun-27
04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),0,,,,KeHE + Olio&Olive + HEB,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ 9/2,"1,491.28",Jun-27
04181,VEZZENA CHEESE AGED WHOLE WHEEL,24,,,,CowBell 5x per monthly plan,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ 9/2,"1,479.11",Jun-27
04182,VEZZENA CHEESE 7 OZ EW,0,,,,no ongoing projects,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ 9/2,"1,465.66",Jun-27
04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,replaced with 04028,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269576602,ETA 07/23,60,60,TJ 9/9,"1,555.52",Jun-27
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock 2024,,20228,CACIOTTA HERBS 6 LBS,1282618,03/23/2026,10,,,64.357,02/19/2027
04211,ALPEGGIO CHEESE 7 OZ EW,0,,,,Lettieri sometimes orders 10-15 cases,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027
05001,GRANA PADANO PDO WHOLE WHEEL,66,,,,slow mover but keep some in stock,,20229,"CACIOTTA HERBS 1,2 LBS",1308180,07/03/2026,30,,CowBell monthly plan?,256.57,02/03/2027
05007,GRANA PADANO PDO 1/8 WHEEL,1612,,,,,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,269576618,ETA 07/23,144,,,760.32,Feb-27
05012,GRANA PADANO PDO HOR. CUT,32,,,,Selected,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,269576617,ETA 07/23,144,,,760.32,Feb-27
05018,GRANA PADANO 1/8 MIN 16 MESI,0,,,,not interesting for the stock 2024,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,68,,,359.04,10/22/2026
05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,236,,,,always have at least 1/2 pallet (check with Stefano),,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38,38,expired,572.643,01/15/2026
05033,PARMIGIANO REGGIANO PDO WHOLE WHEEL 24 MESI,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72,72,expired,1086.98,01/15/2026
05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL 18mo,40,,,,,,20438,PROVOLONE CYLINDER CHEESE,190626174,ETA 07/23,72,,,"1,074.33",Feb-27
05091,GRANA PADANO 7OZ,0,,,,we don't have project right now,,20438,PROVOLONE CYLINDER CHEESE,190626174,ETA 07/23,72,,,"1,078.35",Feb-27
05093,GRANA PADANO WW 16 MESI,0,,,,,,20438,PROVOLONE CYLINDER CHEESE,190626174,ETA 07/23,72,,,"1,074.16",Feb-27
