Priority,Item code,Product,Category,Pack,EXW $/lb,Availability,Image status,Current size,Received? (Y/N),New Cloudinary link
P3,20700,Pecorino Siciliano Primosale,Pecorino & Sheep,Pecorino white Whole Wheels approx 14 oz lbs vacuum packed,$7.75,preorder,MISSING,—,,
P3,20701,Pecorino Siciliano Primosale,Pecorino & Sheep,pecorino with olives Whole Wheels approx 14 oz lbs vacuum packed,$8.02,preorder,MISSING,—,,
P3,20702,Pecorino Siciliano Primosale,Pecorino & Sheep,Pecorino with curry Whole Wheels approx 14 oz lbs vacuum packed,$8.1,preorder,MISSING,—,,
P3,20703,Pecorino Siciliano Primosale,Pecorino & Sheep,pecorino ghiotto with Whole Wheels approx 14 oz lbs vacuum packed,$8.18,preorder,MISSING,—,,
P3,20719,Pecorino Siciliano Primosale,Pecorino & Sheep,Pecorino saffron & bacck pepper Whole Wheels approx 14 oz lbs vacuum packed,$11.62,preorder,MISSING,—,,
P3,20720,Pecorino Siciliano Primosale,Pecorino & Sheep,Pecorino with pistachio Whole Wheels approx 14 oz lbs vacuum packed,$8.33,preorder,MISSING,—,,
P3,20567,Castelmagno DOP,Piemontesi,Whole Wheels vacuum packed - 15 lbS Approx,$20.08,unavailable,MISSING,—,,
P3,01401,Sharp Provolone,Provolone,"Shredded, atmosphere-modified bags, 5 lbs",$7.03,preorder,MISSING,—,,
P3,20437,Cacio Provolone,Provolone,"Cylinder for slicing, vacuum packed, red chili pepper",$5.78,preorder,MISSING,—,,
P3,20439,Cacio Provolone,Provolone,"Cylinder for slicing, vacuum packed, black peppercorn",$5.78,preorder,MISSING,—,,
P3,20440,Cacio Provolone,Provolone,"Cylinder for slicing, vacuum packed, mountain herbs",$5.78,preorder,MISSING,—,,
P3,20441,Cacio Provolone,Provolone,"Cylinder for slicing, vacuum packed, black summer truffle",$7.27,preorder,MISSING,—,,
P4,04046,Vezzena Cheese,Alpine & Specialty,"1/4 Wheel, vacuum packed",$8.22,in_stock,LOW-RES,1667px,,
P4,40107,Piave Cheese DOP,Alpine & Specialty,MEZZANO Whole Wheels approx 13 lbs vacuum packed,$8.29,in_stock,LOW-RES,652px,,
P4,40109,Piave Cheese DOP,Alpine & Specialty,AGED MORE THAN 6 months Whole Wheels approx 12 lbs vacuum packed,$8.65,in_stock,LOW-RES,672px,,
P4,02073,Asiago Fresco DOP,Asiago,"1/4 Wheel, vacuum packed",$6.01,in_stock,LOW-RES,1667px,,
P4,03010,Asiago Stagionato DOP,Asiago,"1/4 Wheel, vacuum packed",$7.42,in_stock,LOW-RES,1461px,,
P4,05007,Grana Padano,Grana Padano,"1/8 Wheel, vacuum packed",$7.68,in_stock,LOW-RES,1772px,,
P4,40163,Ricotta Salata Saporita,Pecorino & Sheep,"7 oz Exact Weight Wedges, vacuum packed",on request,unavailable,LOW-RES,1411px,,
